Query_ID,Student_Query,Department,Days_To_Deadline,Priority_Label
4456,I need a bonafide certificate from the admission office,Admission Cell,18,Medium
3626,"Hello, My scholarship amount has not been credited and fee deadline is near",Finance Office,17,High
2565,"Respected sir, Where can I find old question papers",Administration,7,Low
3947,"Sir/Madam, How can I update my contact details in the portal",IT Support,14,Low
2220,"Respected sir, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,39,High
3275,How do I apply for an internship through placement cell,Placement Cell,5,Low
1882,"Hi, Emergency hostel issue water leakage in my room right now",Hostel Office,8,High
2772,Emergency hostel issue water leakage in my room right now,Hostel Office,13,High
1441,"Respected sir, My scholarship amount has not been credited and fee deadline is near",Finance Office,54,High
1806,How to join student clubs at the university,Administration,59,Low
5195,"Hello, What is the procedure for a transcript request",Administration,42,Low
5223,"Hello, My fee receipt was not generated after payment",Finance Office,16,Medium
4058,"Respected sir, How do I reset my university portal password",IT Support,32,Medium
3864,"Respected sir, Hostel room change request for next semester",Hostel Office,34,Medium
4033,"Respected sir, What documents are needed for hostel allotment",Hostel Office,37,Low
1154,"Hi, How do I reset my university portal password",IT Support,31,Medium
1186,"Respected sir, How do I reset my university portal password",IT Support,8,Medium
437,"Hello, What are the library working hours",Library,36,Low
498,"Hello, Admit card has wrong details and exam is in two days",Examination Cell,20,High
1635,"Sir/Madam, Library fine needs to be cleared please advise",Library,6,Medium
1928,"Hello, Placement registration form is not opening properly",Placement Cell,45,Medium
4618,"Respected sir, Wifi has been down for three days and I have an online exam",Examination Cell,13,High
2976,My scholarship amount has not been credited and fee deadline is near,Finance Office,26,High
3698,"Respected sir, How do I reset my university portal password",IT Support,8,Medium
3173,"Sir/Madam, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,4,High
4749,"Sir/Madam, Hostel room change request for next semester",Hostel Office,2,Medium
5019,"Sir/Madam, Admit card has wrong details and exam is in two days",Examination Cell,57,High
1872,"Hi, How to join student clubs at the university",Administration,7,Low
1109,"Sir/Madam, I need a bonafide certificate from the admission office",Admission Cell,1,Medium
3224,"Respected sir, Emergency hostel issue water leakage in my room right now",Hostel Office,48,High
1461,"Hi, My scholarship amount has not been credited and fee deadline is near",Finance Office,19,High
2921,How to join student clubs at the university,Administration,51,Low
2166,"Respected sir, My exam form submission is failing and the deadline is today",Examination Cell,42,High
5627,"Hi, Hostel room change request for next semester",Hostel Office,52,Medium
631,Library fine needs to be cleared please advise,Library,43,Medium
1323,"Hi, I am locked out of the portal and need to pay fee before deadline",Finance Office,47,High
1775,"Hello, What is the procedure for a transcript request",Administration,8,Low
599,"Sir/Madam, How can I update my contact details in the portal",IT Support,53,Low
2901,"Sir/Madam, Where can I find old question papers",Administration,58,Low
