Course,Course_Full_Name,Annual_Fee_INR,Hostel_Fee_INR,Library_Fine_Per_Day_INR,Exam_Form_Deadline,Exam_Start_Date,Scholarship_Amount_INR,Scholarship_Deadline,Admission_Fee_INR,Admission_Deadline,Placement_Registration_Deadline,Convocation_Date
BTECH_CSE,B.Tech Computer Science Engineering,200000,85000,5,2026-11-10,2026-12-01,50000,2026-08-15,25000,2026-07-20,2026-09-30,2027-06-15
BTECH_ECE,B.Tech Electronics & Communication Engineering,185000,85000,5,2026-11-10,2026-12-01,45000,2026-08-15,25000,2026-07-20,2026-09-30,2027-06-15
BTECH_MECH,B.Tech Mechanical Engineering,175000,85000,5,2026-11-10,2026-12-01,40000,2026-08-15,25000,2026-07-20,2026-09-30,2027-06-15
BTECH_CIVIL,B.Tech Civil Engineering,170000,85000,5,2026-11-10,2026-12-01,40000,2026-08-15,25000,2026-07-20,2026-09-30,2027-06-15
BCA,Bachelor of Computer Applications,120000,70000,3,2026-11-05,2026-11-25,30000,2026-08-10,15000,2026-07-15,2026-09-25,2027-05-30
MCA,Master of Computer Applications,140000,75000,3,2026-11-05,2026-11-25,35000,2026-08-10,18000,2026-07-15,2026-09-25,2027-05-30
MBA,Master of Business Administration,250000,90000,5,2026-11-15,2026-12-05,60000,2026-08-20,30000,2026-07-25,2026-10-05,2027-06-20
BBA,Bachelor of Business Administration,110000,70000,3,2026-11-05,2026-11-25,25000,2026-08-10,15000,2026-07-15,2026-09-25,2027-05-30
BSC_AGRI,B.Sc Agriculture,95000,65000,3,2026-11-01,2026-11-20,28000,2026-08-05,12000,2026-07-10,2026-09-20,2027-05-25
MSC_CS,M.Sc Computer Science,130000,75000,3,2026-11-05,2026-11-25,32000,2026-08-10,16000,2026-07-15,2026-09-25,2027-05-30
BCOM,Bachelor of Commerce,80000,60000,2,2026-10-25,2026-11-15,20000,2026-08-01,10000,2026-07-05,2026-09-15,2027-05-20
BA_ENGLISH,Bachelor of Arts English,65000,60000,2,2026-10-25,2026-11-15,18000,2026-08-01,8000,2026-07-05,2026-09-15,2027-05-20
DIPLOMA_CSE,Diploma in Computer Science Engineering,90000,55000,3,2026-10-20,2026-11-10,15000,2026-07-25,8000,2026-07-01,2026-09-10,2027-04-30
LLB,Bachelor of Laws,160000,80000,4,2026-11-12,2026-12-02,38000,2026-08-18,20000,2026-07-22,2026-09-28,2027-06-10
BPHARMA,Bachelor of Pharmacy,190000,85000,4,2026-11-08,2026-11-28,42000,2026-08-12,22000,2026-07-18,2026-09-22,2027-06-05
